response_id,submitted_at,hidden.user_id,hidden.plan,hidden.country,question.nps_score,question.reason,question.feature_request
2b310d68-98d,2024-12-01T11:08:03Z,a85748ca-ecbc-4adb-8e74-78f8bdea192f,starter,CA,8,Decent price,Better reporting
0ae82eb3-a05,2025-03-01T17:53:17Z,a85748ca-ecbc-4adb-8e74-78f8bdea192f,starter,CA,6,Confusing onboarding,Mobile app improvements
72437350-1ff,2025-06-01T08:00:58Z,a85748ca-ecbc-4adb-8e74-78f8bdea192f,starter,CA,10,Super easy to use,More integrations
2131a24b-31d,2024-03-01T18:16:13Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,10,Best tool for my team,API docs
0018c816-07a,2024-06-01T18:15:57Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,10,"Clean UI, nothing bloated",
4a2f6862-ee4,2024-09-01T02:24:14Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,9,Saves me hours every week,Bulk actions
aef2b6d2-40a,2024-12-01T18:41:24Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,7,Some bugs occasionally,Better reporting
d7899580-233,2025-03-01T00:25:54Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,10,Saves me hours every week,Bulk actions
e2441679-652,2025-06-01T07:19:15Z,5d436bb2-a95c-4e98-96c8-61930e2b2f25,starter,GH,10,Super easy to use,Mobile app improvements
7b896897-a34,2024-03-01T14:06:25Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,10,Best tool for my team,API docs
db95c691-b81,2024-06-01T16:11:56Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,4,Support was slow,API docs
89fe9e54-043,2024-09-01T15:23:35Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,10,Super easy to use,Bulk actions
c381ec6a-693,2024-12-01T11:06:28Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,10,Great value,API docs
54ee227e-083,2025-03-01T15:49:09Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,10,"Clean UI, nothing bloated",Mobile app improvements
0f721e9b-c85,2025-06-01T04:41:02Z,815de1b8-3b5a-424a-825a-cd114f49b467,starter,NG,8,Good but missing a few features,Better reporting
2b1b0370-0cf,2024-12-01T04:23:31Z,fe20706e-e165-43db-9acd-efa53596b67f,starter,NG,9,Best tool for my team,Better reporting
2fdacd6c-a14,2025-03-01T17:06:57Z,fe20706e-e165-43db-9acd-efa53596b67f,starter,NG,10,Love the kanban board,
