"response_id","customer_id","date_key","year_month","nps_score","nps_category","nps_value","reason","feature_request","plan_tier","country","acquisition_channel","submitted_at"
"2b310d68-98d","a85748ca-ecbc-4adb-8e74-78f8bdea192f",20241201,"2024-12",8,"Passive",0,"Decent price","Better reporting","starter","CA","google_ads","2024-12-01 12:08:03+01"
"0ae82eb3-a05","a85748ca-ecbc-4adb-8e74-78f8bdea192f",20250301,"2025-03",6,"Detractor",-1,"Confusing onboarding","Mobile app improvements","starter","CA","google_ads","2025-03-01 18:53:17+01"
"72437350-1ff","a85748ca-ecbc-4adb-8e74-78f8bdea192f",20250601,"2025-06",10,"Promoter",1,"Super easy to use","More integrations","starter","CA","google_ads","2025-06-01 09:00:58+01"
"2131a24b-31d","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20240301,"2024-03",10,"Promoter",1,"Best tool for my team","API docs","starter","GH","organic_search","2024-03-01 19:16:13+01"
"0018c816-07a","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20240601,"2024-06",10,"Promoter",1,"Clean UI, nothing bloated","","starter","GH","organic_search","2024-06-01 19:15:57+01"
"4a2f6862-ee4","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20240901,"2024-09",9,"Promoter",1,"Saves me hours every week","Bulk actions","starter","GH","organic_search","2024-09-01 03:24:14+01"
"aef2b6d2-40a","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20241201,"2024-12",7,"Passive",0,"Some bugs occasionally","Better reporting","starter","GH","organic_search","2024-12-01 19:41:24+01"
"d7899580-233","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","Bulk actions","starter","GH","organic_search","2025-03-01 01:25:54+01"
"e2441679-652","5d436bb2-a95c-4e98-96c8-61930e2b2f25",20250601,"2025-06",10,"Promoter",1,"Super easy to use","Mobile app improvements","starter","GH","organic_search","2025-06-01 08:19:15+01"
"7b896897-a34","815de1b8-3b5a-424a-825a-cd114f49b467",20240301,"2024-03",10,"Promoter",1,"Best tool for my team","API docs","starter","NG","google_ads","2024-03-01 15:06:25+01"
"db95c691-b81","815de1b8-3b5a-424a-825a-cd114f49b467",20240601,"2024-06",4,"Detractor",-1,"Support was slow","API docs","starter","NG","google_ads","2024-06-01 17:11:56+01"
"89fe9e54-043","815de1b8-3b5a-424a-825a-cd114f49b467",20240901,"2024-09",10,"Promoter",1,"Super easy to use","Bulk actions","starter","NG","google_ads","2024-09-01 16:23:35+01"
"c381ec6a-693","815de1b8-3b5a-424a-825a-cd114f49b467",20241201,"2024-12",10,"Promoter",1,"Great value","API docs","starter","NG","google_ads","2024-12-01 12:06:28+01"
"54ee227e-083","815de1b8-3b5a-424a-825a-cd114f49b467",20250301,"2025-03",10,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","starter","NG","google_ads","2025-03-01 16:49:09+01"
"0f721e9b-c85","815de1b8-3b5a-424a-825a-cd114f49b467",20250601,"2025-06",8,"Passive",0,"Good but missing a few features","Better reporting","starter","NG","google_ads","2025-06-01 05:41:02+01"
"2b1b0370-0cf","fe20706e-e165-43db-9acd-efa53596b67f",20241201,"2024-12",9,"Promoter",1,"Best tool for my team","Better reporting","starter","NG","organic_search","2024-12-01 05:23:31+01"
"2fdacd6c-a14","fe20706e-e165-43db-9acd-efa53596b67f",20250301,"2025-03",10,"Promoter",1,"Love the kanban board","","starter","NG","organic_search","2025-03-01 18:06:57+01"
"35474c3b-435","fe20706e-e165-43db-9acd-efa53596b67f",20250601,"2025-06",8,"Passive",0,"Good but missing a few features","More integrations","starter","NG","organic_search","2025-06-01 14:18:30+01"
