"user_id","customer_id","date_key","year_month","total_events","logins","projects_created","tasks_created","feature_interactions","invites_sent","reports_viewed","engagement_score","web_events","ios_events","android_events","plan_tier","country","acquisition_channel"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20241101,"2024-11","207","25","14","93","49","7","16","1.61","140","37","30","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20241201,"2024-12","186","22","21","87","41","11","4","1.84","120","34","32","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250101,"2025-01","248","66","23","84","47","8","20","1.56","174","37","37","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250201,"2025-02","212","42","25","66","63","2","14","1.65","133","52","27","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250301,"2025-03","192","85","19","22","40","6","20","1.45","133","35","24","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250401,"2025-04","135","27","18","46","30","4","10","1.67","81","33","21","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250501,"2025-05","171","69","19","69","2","7","5","1.53","106","44","21","business","US","google_ads"
"000afff8-8cbe-4686-ac69-7dc1e68ad78e","000afff8-8cbe-4686-ac69-7dc1e68ad78e",20250601,"2025-06","196","38","22","62","51","8","15","1.69","121","44","31","business","US","google_ads"
"00272715-7c75-4a7f-ba61-32b30550cc3d","00272715-7c75-4a7f-ba61-32b30550cc3d",20250201,"2025-02","242","44","24","118","23","11","19","1.58","166","48","28","business","ZA","product_hunt"
"00272715-7c75-4a7f-ba61-32b30550cc3d","00272715-7c75-4a7f-ba61-32b30550cc3d",20250301,"2025-03","156","33","13","78","12","6","14","1.52","98","33","25","business","ZA","product_hunt"
"00272715-7c75-4a7f-ba61-32b30550cc3d","00272715-7c75-4a7f-ba61-32b30550cc3d",20250401,"2025-04","145","36","14","48","25","9","13","1.63","85","37","23","business","ZA","product_hunt"
"00272715-7c75-4a7f-ba61-32b30550cc3d","00272715-7c75-4a7f-ba61-32b30550cc3d",20250501,"2025-05","192","22","21","82","36","11","19","1.69","119","45","28","business","ZA","product_hunt"
"007e807a-b3ee-4248-883b-a886ebfa96ff","007e807a-b3ee-4248-883b-a886ebfa96ff",20240401,"2024-04","54","16","4","13","14","1","3","1.47","27","14","13","pro","ZA","linkedin_ads"
"007e807a-b3ee-4248-883b-a886ebfa96ff","007e807a-b3ee-4248-883b-a886ebfa96ff",20240501,"2024-05","100","27","9","38","18","4","4","1.63","63","21","16","pro","ZA","linkedin_ads"
"007e807a-b3ee-4248-883b-a886ebfa96ff","007e807a-b3ee-4248-883b-a886ebfa96ff",20240601,"2024-06","88","19","4","37","16","2","10","1.44","61","13","14","pro","ZA","linkedin_ads"
"007e807a-b3ee-4248-883b-a886ebfa96ff","007e807a-b3ee-4248-883b-a886ebfa96ff",20240701,"2024-07","112","23","9","48","20","4","8","1.59","73","25","14","pro","ZA","linkedin_ads"
"007e807a-b3ee-4248-883b-a886ebfa96ff","007e807a-b3ee-4248-883b-a886ebfa96ff",20240801,"2024-08","104","25","8","40","22","3","6","1.59","73","17","14","pro","ZA","linkedin_ads"
