"subscription_id","customer_id","stripe_customer_id","plan_price_id","plan_tier","date_key","year_month","plan_name","billing_interval","price_usd","mrr_contribution","status","trial_start_date","trial_end_date","current_period_start","current_period_end","churn_date","is_active","is_churned","is_in_trial","days_as_customer","acquisition_channel","acquisition_channel_type","is_paid_acquisition","country","signup_plan_tier"
"sub_rr9vwe77nttrti","a85748ca-ecbc-4adb-8e74-78f8bdea192f","cus_y6dpbhsahxthv3","price_starter_monthly","starter",20241123,"2024-11","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-11-23 08:44:05+01","2024-12-07 08:23:00+01","2024-11-23 03:37:45+01","2025-01-22 14:33:36+01","2025-01-22 23:51:47+01","",1,"",60,"google_ads","Paid",1,"CA","starter"
"sub_4nred6m42fq4t7","5d436bb2-a95c-4e98-96c8-61930e2b2f25","cus_mdd4v30t9nt3w5","price_starter_annual","starter",20240322,"2024-03","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-03-22 05:07:44+01","2024-04-05 23:09:24+01","2024-03-22 14:15:13+01","2025-06-30 08:03:47+01","",1,"","",807,"organic_search","Organic","","GH","starter"
"sub_zpbdurvfffia3o","815de1b8-3b5a-424a-825a-cd114f49b467","cus_5nq4fmyzycwtiq","price_starter_monthly","starter",20240205,"2024-02","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-02-05 14:46:21+01","2024-02-19 15:50:41+01","2024-02-05 06:30:47+01","2024-06-04 05:47:33+01","2024-06-04 23:19:30+01","",1,"",120,"google_ads","Paid",1,"NG","starter"
"sub_kf5b1sa3y5t37s","fe20706e-e165-43db-9acd-efa53596b67f","cus_c32oc6uzhr5xff","price_starter_monthly","starter",20241123,"2024-11","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-11-23 17:24:08+01","2024-12-08 00:13:25+01","2024-11-23 23:14:27+01","2025-06-30 06:17:05+01","",1,"","",560,"organic_search","Organic","","NG","starter"
"sub_hg0u43qlx3f2xh","51a0218e-e776-4656-ae1c-957978bd42c3","cus_9er14ffyvnvqjt","price_pro_monthly","pro",20240514,"2024-05","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-05-14 11:01:15+01","2024-05-28 10:10:34+01","2024-05-14 04:06:04+01","2025-06-30 12:38:49+01","",1,"","",754,"organic_search","Organic","","GB","pro"
"sub_ha6gh7idub9rbd","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e","cus_epq85jsg65kxvf","price_starter_annual","starter",20240228,"2024-02","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-02-28 07:20:48+01","2024-03-13 13:46:22+01","2024-02-28 10:00:22+01","2025-06-30 10:25:32+01","",1,"","",830,"organic_search","Organic","","GB","starter"
"sub_zdo0d3fvnv4kfq","4925651f-d88f-4d67-9bcd-8eeed2ff23a6","cus_en93iiuc039tex","price_pro_monthly","pro",20250202,"2025-02","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2025-02-02 22:41:09+01","2025-02-16 23:10:32+01","2025-02-02 21:05:45+01","2025-06-30 08:56:13+01","",1,"","",489,"product_hunt","Organic","","ZA","pro"
"sub_0x7m2mm4p61nhv","d3b1c1ac-e9e8-4efa-8964-46379c40be7b","cus_0hl9xpseimvihc","price_starter_monthly","starter",20240927,"2024-09","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-09-27 01:09:49+01","2024-10-11 10:35:55+01","2024-09-27 03:09:36+01","2025-06-30 21:31:06+01","",1,"","",618,"referral","Organic","","GB","starter"
"sub_2ddl7fkndg1jrj","f2eef9ce-5015-450e-95e0-939b51469d89","cus_he7ur23gdppq0y","price_starter_monthly","starter",20240204,"2024-02","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-02-04 10:25:26+01","2024-02-18 20:58:43+01","2024-02-04 15:41:59+01","2024-10-01 05:07:36+01","2024-10-01 16:02:23+01","",1,"",240,"product_hunt","Organic","","ZA","starter"
"sub_n48nysj5ywx0i3","675de9e0-437d-4aad-adaf-20656782b5fa","cus_qpki7p5tb94874","price_starter_annual","starter",20240725,"2024-07","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","canceled","2024-07-25 03:14:24+01","2024-08-08 15:42:05+01","2024-07-25 01:09:54+01","2025-04-21 04:18:24+01","2025-04-21 06:36:25+01","",1,"",270,"organic_search","Organic","","DE","starter"
